data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,train_users,test_users,users_to_predict,prediction_time
MovieLens-100K,LDiffRec,3,./data_sets/MovieLens-100K/checkpoint_LDiffRec/config_0/fold_3/LDiffRec-Apr-25-2025_19-31-31.pth,0,"{'steps': 5, 'learning_rate': 0.01}",3,711,711,711,3.722288131713867
MovieLens-100K,LDiffRec,4,./data_sets/MovieLens-100K/checkpoint_LDiffRec/config_0/fold_4/LDiffRec-Apr-25-2025_19-31-44.pth,0,"{'steps': 5, 'learning_rate': 0.01}",4,711,711,711,3.622096538543701
MovieLens-100K,LightGCN,0,./data_sets/MovieLens-100K/checkpoint_LightGCN/config_0/fold_0/LightGCN-Apr-25-2025_15-35-51.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,0.38549232482910156
MovieLens-100K,LightGCN,1,./data_sets/MovieLens-100K/checkpoint_LightGCN/config_0/fold_1/LightGCN-Apr-25-2025_15-37-01.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.41791605949401855
MovieLens-100K,LightGCN,2,./data_sets/MovieLens-100K/checkpoint_LightGCN/config_0/fold_2/LightGCN-Apr-25-2025_15-38-09.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.39381980895996094
MovieLens-100K,LightGCN,3,./data_sets/MovieLens-100K/checkpoint_LightGCN/config_0/fold_3/LightGCN-Apr-25-2025_15-39-13.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.40186500549316406
MovieLens-100K,LightGCN,4,./data_sets/MovieLens-100K/checkpoint_LightGCN/config_0/fold_4/LightGCN-Apr-25-2025_15-41-53.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.4314897060394287
MovieLens-100K,LINE,0,./data_sets/MovieLens-100K/checkpoint_LINE/config_0/fold_0/LINE-Apr-25-2025_15-44-13.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,0.37772345542907715
MovieLens-100K,LINE,1,./data_sets/MovieLens-100K/checkpoint_LINE/config_0/fold_1/LINE-Apr-25-2025_15-44-31.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.36797308921813965
MovieLens-100K,LINE,2,./data_sets/MovieLens-100K/checkpoint_LINE/config_0/fold_2/LINE-Apr-25-2025_15-44-48.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.36928248405456543
MovieLens-100K,LINE,3,./data_sets/MovieLens-100K/checkpoint_LINE/config_0/fold_3/LINE-Apr-25-2025_15-45-09.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.3708202838897705
MovieLens-100K,LINE,4,./data_sets/MovieLens-100K/checkpoint_LINE/config_0/fold_4/LINE-Apr-25-2025_15-45-25.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.38844776153564453
MovieLens-100K,MacridVAE,0,./data_sets/MovieLens-100K/checkpoint_MacridVAE/config_0/fold_0/MacridVAE-Apr-25-2025_19-32-25.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,4.614680051803589
MovieLens-100K,MacridVAE,1,./data_sets/MovieLens-100K/checkpoint_MacridVAE/config_0/fold_1/MacridVAE-Apr-25-2025_19-32-42.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,4.6625075340271
MovieLens-100K,MacridVAE,2,./data_sets/MovieLens-100K/checkpoint_MacridVAE/config_0/fold_2/MacridVAE-Apr-25-2025_19-32-58.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,4.6392881870269775
MovieLens-100K,MacridVAE,3,./data_sets/MovieLens-100K/checkpoint_MacridVAE/config_0/fold_3/MacridVAE-Apr-25-2025_19-33-12.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,4.584354639053345
MovieLens-100K,MacridVAE,4,./data_sets/MovieLens-100K/checkpoint_MacridVAE/config_0/fold_4/MacridVAE-Apr-25-2025_19-33-28.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,4.677489280700684
MovieLens-100K,MultiDAE,0,./data_sets/MovieLens-100K/checkpoint_MultiDAE/config_0/fold_0/MultiDAE-Apr-25-2025_15-45-57.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",0,711,711,711,0.8717801570892334
MovieLens-100K,MultiDAE,1,./data_sets/MovieLens-100K/checkpoint_MultiDAE/config_0/fold_1/MultiDAE-Apr-25-2025_15-46-13.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",1,711,711,711,0.8494760990142822
MovieLens-100K,MultiDAE,2,./data_sets/MovieLens-100K/checkpoint_MultiDAE/config_0/fold_2/MultiDAE-Apr-25-2025_15-46-22.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",2,711,711,711,0.862105131149292
MovieLens-100K,MultiDAE,3,./data_sets/MovieLens-100K/checkpoint_MultiDAE/config_0/fold_3/MultiDAE-Apr-25-2025_15-46-32.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",3,711,711,711,0.9683563709259033
MovieLens-100K,MultiDAE,4,./data_sets/MovieLens-100K/checkpoint_MultiDAE/config_0/fold_4/MultiDAE-Apr-25-2025_15-46-42.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",4,711,711,711,0.9054241180419922
MovieLens-100K,MultiVAE,0,./data_sets/MovieLens-100K/checkpoint_MultiVAE/config_0/fold_0/MultiVAE-Apr-25-2025_15-47-11.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",0,711,711,711,0.8134243488311768
MovieLens-100K,MultiVAE,1,./data_sets/MovieLens-100K/checkpoint_MultiVAE/config_0/fold_1/MultiVAE-Apr-25-2025_15-47-20.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",1,711,711,711,0.8025882244110107
MovieLens-100K,MultiVAE,2,./data_sets/MovieLens-100K/checkpoint_MultiVAE/config_0/fold_2/MultiVAE-Apr-25-2025_15-47-29.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",2,711,711,711,0.8352165222167969
MovieLens-100K,MultiVAE,3,./data_sets/MovieLens-100K/checkpoint_MultiVAE/config_0/fold_3/MultiVAE-Apr-25-2025_15-47-38.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",3,711,711,711,0.8486144542694092
MovieLens-100K,MultiVAE,4,./data_sets/MovieLens-100K/checkpoint_MultiVAE/config_0/fold_4/MultiVAE-Apr-25-2025_15-47-48.pth,0,"{'latent_dimension': 64, 'learning_rate': 0.01}",4,711,711,711,0.9825160503387451
MovieLens-100K,NAIS,0,./data_sets/MovieLens-100K/checkpoint_NAIS/config_0/fold_0/NAIS-Apr-25-2025_19-33-58.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 20}",0,711,711,711,14.478666067123413
MovieLens-100K,NAIS,1,./data_sets/MovieLens-100K/checkpoint_NAIS/config_0/fold_1/NAIS-Apr-25-2025_19-52-59.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 20}",1,711,711,711,14.382714748382568
MovieLens-100K,NAIS,2,./data_sets/MovieLens-100K/checkpoint_NAIS/config_0/fold_2/NAIS-Apr-25-2025_20-10-04.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 20}",2,711,711,711,14.151121854782104
MovieLens-100K,NAIS,3,./data_sets/MovieLens-100K/checkpoint_NAIS/config_0/fold_3/NAIS-Apr-25-2025_20-23-56.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 20}",3,711,711,711,14.813505411148071
MovieLens-100K,NAIS,4,./data_sets/MovieLens-100K/checkpoint_NAIS/config_0/fold_4/NAIS-Apr-25-2025_20-37-33.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 20}",4,711,711,711,14.945613384246826
MovieLens-100K,NCEPLRec,0,./data_sets/MovieLens-100K/checkpoint_NCEPLRec/config_0/fold_0/NCEPLRec-Apr-25-2025_20-51-51.pth,0,"{'epochs': 1, 'rank': 450}",0,711,711,711,0.43427371978759766
MovieLens-100K,NCEPLRec,1,./data_sets/MovieLens-100K/checkpoint_NCEPLRec/config_0/fold_1/NCEPLRec-Apr-25-2025_20-52-06.pth,0,"{'epochs': 1, 'rank': 450}",1,711,711,711,0.420961856842041
MovieLens-100K,NCEPLRec,2,./data_sets/MovieLens-100K/checkpoint_NCEPLRec/config_0/fold_2/NCEPLRec-Apr-25-2025_20-52-16.pth,0,"{'epochs': 1, 'rank': 450}",2,711,711,711,0.4135897159576416
MovieLens-100K,NCEPLRec,3,./data_sets/MovieLens-100K/checkpoint_NCEPLRec/config_0/fold_3/NCEPLRec-Apr-25-2025_20-52-25.pth,0,"{'epochs': 1, 'rank': 450}",3,711,711,711,0.40879225730895996
MovieLens-100K,NCEPLRec,4,./data_sets/MovieLens-100K/checkpoint_NCEPLRec/config_0/fold_4/NCEPLRec-Apr-25-2025_20-52-34.pth,0,"{'epochs': 1, 'rank': 450}",4,711,711,711,0.42903590202331543
MovieLens-100K,NCL,0,./data_sets/MovieLens-100K/checkpoint_NCL/config_0/fold_0/NCL-Apr-25-2025_20-56-21.pth,0,"{'embedding_size': 64, 'num_clusters': 100}",0,711,711,711,0.41931748390197754
MovieLens-100K,NCL,1,./data_sets/MovieLens-100K/checkpoint_NCL/config_0/fold_1/NCL-Apr-25-2025_20-58-10.pth,0,"{'embedding_size': 64, 'num_clusters': 100}",1,711,711,711,0.4319417476654053
