data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,setup_time,training_time
disneylandreviews,DCN,3,./data_sets/disneylandreviews/checkpoint_DCN/config_0/fold_3/DCN-May-18-2025_20-34-33.pth,0,{},3,1.6261584758758545,0.9526374340057373
disneylandreviews,DCN,4,./data_sets/disneylandreviews/checkpoint_DCN/config_0/fold_4/DCN-May-18-2025_20-34-39.pth,0,{},4,1.5543036460876465,0.9704301357269287
disneylandreviews,DeepFM,0,./data_sets/disneylandreviews/checkpoint_DeepFM/config_0/fold_0/DeepFM-May-18-2025_20-34-45.pth,0,{},0,1.6059422492980957,0.6321792602539062
disneylandreviews,DeepFM,1,./data_sets/disneylandreviews/checkpoint_DeepFM/config_0/fold_1/DeepFM-May-18-2025_20-34-51.pth,0,{},1,1.6457593441009521,0.5355346202850342
disneylandreviews,DeepFM,2,./data_sets/disneylandreviews/checkpoint_DeepFM/config_0/fold_2/DeepFM-May-18-2025_20-34-57.pth,0,{},2,1.6721174716949463,0.5798015594482422
disneylandreviews,DeepFM,3,./data_sets/disneylandreviews/checkpoint_DeepFM/config_0/fold_3/DeepFM-May-18-2025_20-35-03.pth,0,{},3,1.5704216957092285,0.5431277751922607
disneylandreviews,DeepFM,4,./data_sets/disneylandreviews/checkpoint_DeepFM/config_0/fold_4/DeepFM-May-18-2025_20-35-09.pth,0,{},4,1.5975830554962158,0.5393974781036377
disneylandreviews,DSSM,0,./data_sets/disneylandreviews/checkpoint_DSSM/config_0/fold_0/DSSM-May-18-2025_20-35-15.pth,0,{},0,1.5398235321044922,1.1443462371826172
disneylandreviews,DSSM,1,./data_sets/disneylandreviews/checkpoint_DSSM/config_0/fold_1/DSSM-May-18-2025_20-35-21.pth,0,{},1,1.6336448192596436,1.1495840549468994
disneylandreviews,DSSM,2,./data_sets/disneylandreviews/checkpoint_DSSM/config_0/fold_2/DSSM-May-18-2025_20-35-28.pth,0,{},2,1.5512871742248535,1.2299010753631592
disneylandreviews,DSSM,3,./data_sets/disneylandreviews/checkpoint_DSSM/config_0/fold_3/DSSM-May-18-2025_20-35-34.pth,0,{},3,1.621877670288086,1.1397407054901123
disneylandreviews,DSSM,4,./data_sets/disneylandreviews/checkpoint_DSSM/config_0/fold_4/DSSM-May-18-2025_20-35-41.pth,0,{},4,1.6158428192138672,1.2280831336975098
disneylandreviews,EulerNet,0,./data_sets/disneylandreviews/checkpoint_EulerNet/config_0/fold_0/EulerNet-May-18-2025_20-37-16.pth,0,{},0,1.977583885192871,0.7588822841644287
